,Dtype,sample_data_1,sample_data_2,sample_data_3,sample_data_4,sample_data_5,max,min,mean,std,median,Correlation with price_doc,top_corr_1,top_corr_2,top_corr_3,top_corr_4,top_corr_5,missing_values_count,missing_values_percentage,Drop it,Importance_level,Comment
timestamp_2011-10-20,,,,,,,,,,,,,sub_area_Ochakovo-Matveevskoe,sub_area_Moskvorech'e-Saburovo,sub_area_Savelki,sub_area_Vostochnoe Degunino,sub_area_Ajeroport,0.0,0.0,0,1, 
timestamp_2011-10-21,,,,,,,,,,,,,sub_area_Krylatskoe,sub_area_Juzhnoportovoe,sub_area_Pechatniki,sub_area_Danilovskoe,sub_area_Kuz'minki,0.0,0.0,0,1, 
timestamp_2011-10-22,,,,,,,,,,,,,sub_area_Kurkino,sub_area_Hovrino,sub_area_Brateevo,sub_area_Orehovo-Borisovo Severnoe,sub_area_Akademicheskoe,0.0,0.0,0,1, 
timestamp_2011-10-24,,,,,,,,,,,,,sub_area_Shhukino,sub_area_Ivanovskoe,sub_area_Kuz'minki,sub_area_Ochakovo-Matveevskoe,sub_area_Horoshevo-Mnevniki,0.0,0.0,0,1, 
timestamp_2011-10-25,,,,,,,,,,,,,sub_area_Kapotnja,sub_area_Marfino,sub_area_Basmannoe,sub_area_Juzhnoportovoe,sub_area_Horoshevskoe,0.0,0.0,0,1, 
timestamp_2011-10-26,,,,,,,,,,,,,sub_area_Chertanovo Juzhnoe,sub_area_Juzhnoe Tushino,sub_area_Savelovskoe,sub_area_Silino,sub_area_Krylatskoe,0.0,0.0,0,1, 
timestamp_2011-10-27,,,,,,,,,,,,,sub_area_Fili Davydkovo,sub_area_Filevskij Park,mosque_count_500,sub_area_Severnoe Izmajlovo,sub_area_Severnoe Medvedkovo,0.0,0.0,0,1, 
timestamp_2011-10-28,,,,,,,,,,,,,sub_area_Kurkino,sub_area_Birjulevo Zapadnoe,sub_area_Taganskoe,sub_area_Chertanovo Central'noe,sub_area_Danilovskoe,0.0,0.0,0,1, 
timestamp_2011-10-29,,,,,,,,,,,,,sub_area_Krylatskoe,sub_area_Vojkovskoe,sub_area_Novo-Peredelkino,sub_area_Taganskoe,preschool_education_centers_raion,0.0,0.0,0,1, 
timestamp_2011-10-31,,,,,,,,,,,,,sub_area_Prospekt Vernadskogo,sub_area_Lefortovo,sub_area_Sviblovo,sub_area_Cheremushki,sub_area_Dmitrovskoe,0.0,0.0,0,1, 
timestamp_2011-11-01,,,,,,,,,,,,,sub_area_Kapotnja,sub_area_Kuz'minki,sub_area_Kurkino,sub_area_Alekseevskoe,sub_area_Babushkinskoe,0.0,0.0,0,1, 
timestamp_2011-11-02,,,,,,,,,,,,,sub_area_Krasnosel'skoe,sub_area_Severnoe Butovo,sub_area_Kotlovka,sub_area_Rjazanskij,sub_area_Orehovo-Borisovo Juzhnoe,0.0,0.0,0,1, 
timestamp_2011-11-03,,,,,,,,,,,,,sub_area_Pechatniki,sub_area_Kurkino,sub_area_Horoshevskoe,sub_area_Severnoe Butovo,sub_area_Ivanovskoe,0.0,0.0,0,1, 
timestamp_2011-11-05,,,,,,,,,,,,,sub_area_Nagornoe,sub_area_Horoshevskoe,sub_area_Novogireevo,sub_area_Kosino-Uhtomskoe,sub_area_Horoshevo-Mnevniki,0.0,0.0,0,1, 
timestamp_2011-11-07,,,,,,,,,,,,,sub_area_Kuncevo,sub_area_Kuz'minki,sub_area_Ostankinskoe,build_count_1946-1970,sub_area_Ajeroport,0.0,0.0,0,1, 
timestamp_2011-11-08,,,,,,,,,,,,,sub_area_Severnoe Izmajlovo,sub_area_Sokol,sub_area_Horoshevskoe,sub_area_Shhukino,sub_area_Rjazanskij,0.0,0.0,0,1, 
timestamp_2011-11-09,,,,,,,,,,,,,sub_area_Babushkinskoe,sub_area_Severnoe Izmajlovo,sub_area_Pechatniki,sub_area_Chertanovo Severnoe,sub_area_Orehovo-Borisovo Juzhnoe,0.0,0.0,0,1, 
timestamp_2011-11-10,,,,,,,,,,,,,sub_area_Preobrazhenskoe,sub_area_Severnoe Izmajlovo,sub_area_Losinoostrovskoe,sub_area_Ivanovskoe,sub_area_Ochakovo-Matveevskoe,0.0,0.0,0,1, 
timestamp_2011-11-11,,,,,,,,,,,,,sub_area_Perovo,oil_chemistry_raion_yes,sub_area_Staroe Krjukovo,sub_area_Butyrskoe,sub_area_Matushkino,0.0,0.0,0,1, 
timestamp_2011-11-12,,,,,,,,,,,,,sub_area_Sokol,sub_area_Lianozovo,sub_area_Novo-Peredelkino,build_count_frame,additional_education_raion,0.0,0.0,0,1, 
timestamp_2011-11-14,,,,,,,,,,,,,sub_area_Gol'janovo,sub_area_Kapotnja,oil_chemistry_raion_yes,sub_area_Babushkinskoe,sub_area_Troparevo-Nikulino,0.0,0.0,0,1, 
timestamp_2011-11-15,,,,,,,,,,,,,build_count_foam,sub_area_Horoshevo-Mnevniki,sub_area_Krylatskoe,sub_area_Severnoe Izmajlovo,sub_area_Severnoe Butovo,0.0,0.0,0,1, 
timestamp_2011-11-16,,,,,,,,,,,,,sub_area_Metrogorodok,sub_area_Pokrovskoe Streshnevo,sub_area_Losinoostrovskoe,sub_area_Sokolinaja Gora,sub_area_Ivanovskoe,0.0,0.0,0,1, 
timestamp_2011-11-17,,,,,,,,,,,,,sub_area_Alekseevskoe,sub_area_Lianozovo,sub_area_Juzhnoe Medvedkovo,sub_area_Severnoe Medvedkovo,product_type_Investment,0.0,0.0,0,1, 
timestamp_2011-11-18,,,,,,,,,,,,,sub_area_Veshnjaki,sub_area_Krylatskoe,sub_area_Matushkino,sub_area_Juzhnoe Medvedkovo,sub_area_Ivanovskoe,0.0,0.0,0,1, 
timestamp_2011-11-19,,,,,,,,,,,,,sub_area_Kosino-Uhtomskoe,sub_area_Hamovniki,build_count_1921-1945,build_count_wood,build_count_before_1920,0.0,0.0,0,1, 
timestamp_2011-11-21,,,,,,,,,,,,,sub_area_Krasnosel'skoe,sub_area_Moskvorech'e-Saburovo,sub_area_Matushkino,sub_area_Jaroslavskoe,mosque_count_1500,0.0,0.0,0,1, 
timestamp_2011-11-22,,,,,,,,,,,,,sub_area_Lianozovo,sub_area_Donskoe,sub_area_Novo-Peredelkino,cafe_count_1000_price_high,build_count_frame,0.0,0.0,0,1, 
timestamp_2011-11-23,,,,,,,,,,,,,sub_area_Juzhnoe Medvedkovo,sub_area_Lomonosovskoe,sub_area_Cheremushki,sub_area_Severnoe Medvedkovo,sub_area_Hovrino,0.0,0.0,0,1, 
timestamp_2011-11-24,,,,,,,,,,,,,sub_area_Donskoe,sub_area_Ljublino,sub_area_Savelovskoe,sub_area_Hamovniki,hospital_beds_raion,0.0,0.0,0,1, 
timestamp_2011-11-25,,,,,,,,,,,,,sub_area_Vnukovo,sub_area_Orehovo-Borisovo Severnoe,sub_area_Metrogorodok,sub_area_Jakimanka,sub_area_Birjulevo Zapadnoe,0.0,0.0,0,1, 
timestamp_2011-11-26,,,,,,,,,,,,,sub_area_Dorogomilovo,sub_area_Novokosino,sub_area_Rjazanskij,sub_area_Horoshevo-Mnevniki,build_count_foam,0.0,0.0,0,1, 
timestamp_2011-11-28,,,,,,,,,,,,,sub_area_Jaroslavskoe,sub_area_Nagatino-Sadovniki,sub_area_Juzhnoe Medvedkovo,sub_area_Preobrazhenskoe,sub_area_Vostochnoe Izmajlovo,0.0,0.0,0,1, 
timestamp_2011-11-29,,,,,,,,,,,,,sub_area_Birjulevo Zapadnoe,sub_area_Mar'ina Roshha,sub_area_Levoberezhnoe,sub_area_Juzhnoe Medvedkovo,sub_area_Taganskoe,0.0,0.0,0,1, 
timestamp_2011-11-30,,,,,,,,,,,,,sub_area_Marfino,sub_area_Hamovniki,sub_area_Silino,sub_area_Jaroslavskoe,sub_area_Levoberezhnoe,0.0,0.0,0,1, 
timestamp_2011-12-01,,,,,,,,,,,,,sub_area_Nizhegorodskoe,sub_area_Basmannoe,sub_area_Alekseevskoe,sub_area_Juzhnoe Medvedkovo,sub_area_Filevskij Park,0.0,0.0,0,1, 
timestamp_2011-12-02,,,,,,,,,,,,,sub_area_Vostochnoe Degunino,sub_area_Cheremushki,sub_area_Pechatniki,sub_area_Orehovo-Borisovo Severnoe,sub_area_Vyhino-Zhulebino,0.0,0.0,0,1, 
timestamp_2011-12-03,,,,,,,,,,,,,sub_area_Sviblovo,sub_area_Fili Davydkovo,sub_area_Losinoostrovskoe,sub_area_Chertanovo Juzhnoe,trc_sqm_3000,0.0,0.0,0,1, 
timestamp_2011-12-05,,,,,,,,,,,,,sub_area_Krasnosel'skoe,sub_area_Mar'ina Roshha,sub_area_Sviblovo,sub_area_Severnoe Medvedkovo,sub_area_Taganskoe,0.0,0.0,0,1, 
timestamp_2011-12-06,,,,,,,,,,,,,sub_area_Severnoe Medvedkovo,sub_area_Kapotnja,trc_sqm_3000,sub_area_Ajeroport,sub_area_Juzhnoe Tushino,0.0,0.0,0,1, 
timestamp_2011-12-07,,,,,,,,,,,,,sub_area_Bogorodskoe,sub_area_Jakimanka,sub_area_Savelki,sub_area_Vostochnoe Degunino,sub_area_Teplyj Stan,0.0,0.0,0,1, 
timestamp_2011-12-08,,,,,,,,,,,,,sub_area_Perovo,oil_chemistry_raion_yes,sub_area_Bogorodskoe,radiation_raion_yes,sub_area_Troparevo-Nikulino,0.0,0.0,0,1, 
timestamp_2011-12-09,,,,,,,,,,,,,sub_area_Severnoe Izmajlovo,sub_area_Severnoe Butovo,sub_area_Pechatniki,sub_area_Chertanovo Severnoe,sub_area_Kuz'minki,0.0,0.0,0,1, 
timestamp_2011-12-10,,,,,,,,,,,,,sub_area_Butyrskoe,sub_area_Ochakovo-Matveevskoe,sub_area_Vyhino-Zhulebino,sub_area_Chertanovo Juzhnoe,sub_area_Juzhnoe Butovo,0.0,0.0,0,1, 
timestamp_2011-12-12,,,,,,,,,,,,,sub_area_Sokol,sub_area_Birjulevo Zapadnoe,sub_area_Ajeroport,sub_area_Levoberezhnoe,sub_area_Teplyj Stan,0.0,0.0,0,1, 
timestamp_2011-12-13,,,,,,,,,,,,,sub_area_Dorogomilovo,sub_area_Savelki,sub_area_Mar'ina Roshha,railroad_terminal_raion_yes,sub_area_Filevskij Park,0.0,0.0,0,1, 
timestamp_2011-12-14,,,,,,,,,,,,,sub_area_Kosino-Uhtomskoe,build_count_wood,sub_area_Staroe Krjukovo,build_count_1921-1945,build_count_slag,0.0,0.0,0,1, 
timestamp_2011-12-15,,,,,,,,,,,,,sub_area_Preobrazhenskoe,sub_area_Severnoe Butovo,sub_area_Matushkino,sub_area_Jaroslavskoe,sub_area_Babushkinskoe,0.0,0.0,0,1, 
timestamp_2011-12-16,,,,,,,,,,,,,sub_area_Rostokino,sub_area_Staroe Krjukovo,sub_area_Krylatskoe,sub_area_Kotlovka,sub_area_Severnoe Medvedkovo,0.0,0.0,0,1, 
timestamp_2011-12-17,,,,,,,,,,,,,sub_area_Gagarinskoe,sub_area_Moskvorech'e-Saburovo,sub_area_Teplyj Stan,sub_area_Hovrino,sub_area_Rjazanskij,0.0,0.0,0,1, 
timestamp_2011-12-19,,,,,,,,,,,,,sub_area_Krylatskoe,sub_area_Savelki,sub_area_Fili Davydkovo,sub_area_Filevskij Park,mosque_count_500,0.0,0.0,0,1, 
timestamp_2011-12-20,,,,,,,,,,,,,sub_area_Kuz'minki,sub_area_Preobrazhenskoe,sub_area_Mozhajskoe,sub_area_Akademicheskoe,build_count_1946-1970,0.0,0.0,0,1, 
timestamp_2011-12-21,,,,,,,,,,,,,sub_area_Prospekt Vernadskogo,sub_area_Severnoe Butovo,sub_area_Novogireevo,sub_area_Koptevo,sub_area_Kuz'minki,0.0,0.0,0,1, 
timestamp_2011-12-22,,,,,,,,,,,,,sub_area_Ostankinskoe,sub_area_Krylatskoe,mosque_count_500,sub_area_Shhukino,sub_area_Teplyj Stan,0.0,0.0,0,1, 
timestamp_2011-12-23,,,,,,,,,,,,,sub_area_Sokol'niki,sub_area_Kurkino,sub_area_Juzhnoportovoe,sub_area_Preobrazhenskoe,sub_area_Koptevo,0.0,0.0,0,1, 
timestamp_2011-12-24,,,,,,,,,,,,,sub_area_Shhukino,sub_area_Dmitrovskoe,sub_area_Chertanovo Severnoe,sub_area_Veshnjaki,nuclear_reactor_raion_yes,0.0,0.0,0,1, 
timestamp_2011-12-26,,,,,,,,,,,,,sub_area_Silino,sub_area_Butyrskoe,sub_area_Sviblovo,mosque_count_500,sub_area_Obruchevskoe,0.0,0.0,0,1, 
timestamp_2011-12-27,,,,,,,,,,,,,sub_area_Kapotnja,sub_area_Krylatskoe,sub_area_Shhukino,sub_area_Taganskoe,sub_area_Caricyno,0.0,0.0,0,1, 
timestamp_2011-12-28,,,,,,,,,,,,,sub_area_Krasnosel'skoe,sub_area_Zamoskvorech'e,sub_area_Rostokino,cafe_count_500_price_1500,trc_sqm_2000,0.0,0.0,0,1, 
timestamp_2011-12-29,,,,,,,,,,,,,sub_area_Pokrovskoe Streshnevo,sub_area_Basmannoe,sub_area_Lianozovo,sub_area_Vojkovskoe,sub_area_Dmitrovskoe,0.0,0.0,0,1, 
timestamp_2011-12-30,,,,,,,,,,,,,sub_area_Tekstil'shhiki,sub_area_Ostankinskoe,sub_area_Savelovskoe,sub_area_Ajeroport,sub_area_Novogireevo,0.0,0.0,0,1, 
timestamp_2011-12-31,,,,,,,,,,,,,sub_area_Presnenskoe,sub_area_Zjuzino,university_top_20_raion,office_sqm_2000,build_count_block,0.0,0.0,0,1, 
timestamp_2012-01-10,,,,,,,,,,,,,sub_area_Jasenevo,sub_area_Altuf'evskoe,sub_area_Alekseevskoe,sub_area_Novo-Peredelkino,sub_area_Timirjazevskoe,0.0,0.0,0,1, 
timestamp_2012-01-11,,,,,,,,,,,,,sub_area_Kurkino,sub_area_Filevskij Park,sub_area_Timirjazevskoe,sub_area_Severnoe Medvedkovo,sub_area_Mozhajskoe,0.0,0.0,0,1, 
timestamp_2012-01-12,,,,,,,,,,,,,sub_area_Krasnosel'skoe,sub_area_Altuf'evskoe,sub_area_Nizhegorodskoe,sub_area_Jakimanka,sub_area_Lefortovo,0.0,0.0,0,1, 
timestamp_2012-01-13,,,,,,,,,,,,,sub_area_Novogireevo,sub_area_Matushkino,sub_area_Lianozovo,sub_area_Zjablikovo,ekder_female,0.0,0.0,0,1, 
timestamp_2012-01-14,,,,,,,,,,,,,sub_area_Severnoe Izmajlovo,sub_area_Lianozovo,sub_area_Taganskoe,sub_area_Sokolinaja Gora,sub_area_Pechatniki,0.0,0.0,0,1, 
timestamp_2012-01-16,,,,,,,,,,,,,sub_area_Zjablikovo,sub_area_Severnoe,sub_area_Severnoe Tushino,sub_area_Meshhanskoe,sub_area_Butyrskoe,0.0,0.0,0,1, 
timestamp_2012-01-17,,,,,,,,,,,,,sub_area_Hovrino,build_count_panel,0_6_female,0_6_all,children_preschool,0.0,0.0,0,1, 
timestamp_2012-01-18,,,,,,,,,,,,,sub_area_Alekseevskoe,sub_area_Butyrskoe,sub_area_Birjulevo Zapadnoe,sub_area_Donskoe,sub_area_Novo-Peredelkino,0.0,0.0,0,1, 
timestamp_2012-01-19,,,,,,,,,,,,,market_count_1000,sub_area_Mar'ina Roshha,sub_area_Kotlovka,sub_area_Vostochnoe Izmajlovo,sub_area_Losinoostrovskoe,0.0,0.0,0,1, 
timestamp_2012-01-20,,,,,,,,,,,,,sub_area_Preobrazhenskoe,sub_area_Juzhnoe Tushino,sub_area_Izmajlovo,sub_area_Hamovniki,sub_area_Lianozovo,0.0,0.0,0,1, 
timestamp_2012-01-21,,,,,,,,,,,,,sub_area_Juzhnoportovoe,sub_area_Fili Davydkovo,sub_area_Novokosino,sub_area_Kotlovka,sub_area_Losinoostrovskoe,0.0,0.0,0,1, 
timestamp_2012-01-23,,,,,,,,,,,,,sub_area_Kapotnja,sub_area_Moskvorech'e-Saburovo,sub_area_Solncevo,sub_area_Mar'ina Roshha,sub_area_Lefortovo,0.0,0.0,0,1, 
timestamp_2012-01-24,,,,,,,,,,,,,sub_area_Veshnjaki,sub_area_Kuz'minki,sub_area_Butyrskoe,sub_area_Juzhnoportovoe,sub_area_Juzhnoe Medvedkovo,0.0,0.0,0,1, 
timestamp_2012-01-25,,,,,,,,,,,,,sub_area_Novo-Peredelkino,sub_area_Vostochnoe Izmajlovo,sub_area_Teplyj Stan,sub_area_Juzhnoe Tushino,sub_area_Brateevo,0.0,0.0,0,1, 
timestamp_2012-01-26,,,,,,,,,,,,,sub_area_Nizhegorodskoe,sub_area_Gagarinskoe,sub_area_Babushkinskoe,sub_area_Zjablikovo,ekder_female,0.0,0.0,0,1, 
timestamp_2012-01-27,,,,,,,,,,,,,sub_area_Kapotnja,sub_area_Basmannoe,cafe_count_1000_price_high,leisure_count_1000,cafe_count_500_price_1000,0.0,0.0,0,1, 
timestamp_2012-01-28,,,,,,,,,,,,,sub_area_Nizhegorodskoe,sub_area_Lianozovo,sub_area_Taganskoe,sub_area_Pechatniki,sub_area_Veshnjaki,0.0,0.0,0,1, 
timestamp_2012-01-30,,,,,,,,,,,,,sub_area_Vostochnoe Izmajlovo,sub_area_Obruchevskoe,sub_area_Dorogomilovo,sub_area_Meshhanskoe,sub_area_Zjablikovo,0.0,0.0,0,1, 
timestamp_2012-01-31,,,,,,,,,,,,,sub_area_Izmajlovo,sub_area_Hovrino,sub_area_Jakimanka,market_count_5000,radiation_raion_yes,0.0,0.0,0,1, 
timestamp_2012-02-01,,,,,,,,,,,,,sub_area_Sokol,sub_area_Marfino,sub_area_Basmannoe,sub_area_Krylatskoe,sub_area_Matushkino,0.0,0.0,0,1, 
timestamp_2012-02-02,,,,,,,,,,,,,sub_area_Vnukovo,sub_area_Hamovniki,sub_area_Otradnoe,sub_area_Alekseevskoe,sub_area_Krylatskoe,0.0,0.0,0,1, 
timestamp_2012-02-03,,,,,,,,,,,,,sub_area_Taganskoe,sub_area_Gagarinskoe,sub_area_Bogorodskoe,sub_area_Marfino,sub_area_Meshhanskoe,0.0,0.0,0,1, 
timestamp_2012-02-04,,,,,,,,,,,,,sub_area_Fili Davydkovo,sub_area_Begovoe,sub_area_Savelovskoe,sub_area_Matushkino,sub_area_Mar'ina Roshha,0.0,0.0,0,1, 
timestamp_2012-02-06,,,,,,,,,,,,,sub_area_Kurkino,sub_area_Nizhegorodskoe,sub_area_Moskvorech'e-Saburovo,sub_area_Prospekt Vernadskogo,sub_area_Teplyj Stan,0.0,0.0,0,1, 
timestamp_2012-02-07,,,,,,,,,,,,,sub_area_Sokol,sub_area_Nizhegorodskoe,sub_area_Alekseevskoe,sub_area_Matushkino,sub_area_Vojkovskoe,0.0,0.0,0,1, 
timestamp_2012-02-08,,,,,,,,,,,,,sub_area_Taganskoe,sub_area_Vostochnoe Degunino,sport_count_2000,sub_area_Sviblovo,sport_objects_raion,0.0,0.0,0,1, 
timestamp_2012-02-09,,,,,,,,,,,,,sub_area_Krasnosel'skoe,sub_area_Rostokino,sub_area_Birjulevo Vostochnoe,sub_area_Jakimanka,sub_area_Staroe Krjukovo,0.0,0.0,0,1, 
timestamp_2012-02-10,,,,,,,,,,,,,leisure_count_500,sub_area_Sokol'niki,sub_area_Kurkino,sub_area_Sokol,cafe_count_1000_price_high,0.0,0.0,0,1, 
timestamp_2012-02-11,,,,,,,,,,,,,sub_area_Vojkovskoe,sub_area_Beskudnikovskoe,sub_area_Losinoostrovskoe,sub_area_Savelovskoe,sub_area_Juzhnoe Medvedkovo,0.0,0.0,0,1, 
timestamp_2012-02-13,,,,,,,,,,,,,sub_area_Vnukovo,sub_area_Dorogomilovo,sub_area_Ostankinskoe,sub_area_Savelki,sub_area_Mar'ina Roshha,0.0,0.0,0,1, 
timestamp_2012-02-14,,,,,,,,,,,,,sub_area_Lomonosovskoe,sub_area_Ochakovo-Matveevskoe,mosque_count_1500,sub_area_Meshhanskoe,sub_area_Butyrskoe,0.0,0.0,0,1, 
timestamp_2012-02-15,,,,,,,,,,,,,sub_area_Severnoe Tushino,ekder_male,mosque_count_500,ekder_all,ekder_female,0.0,0.0,0,1, 
timestamp_2012-02-16,,,,,,,,,,,,,sub_area_Hamovniki,sub_area_Alekseevskoe,sub_area_Birjulevo Zapadnoe,sub_area_Babushkinskoe,sub_area_Nagatino-Sadovniki,0.0,0.0,0,1, 
timestamp_2012-02-17,,,,,,,,,,,,,sub_area_Kuz'minki,sub_area_Gagarinskoe,sub_area_Alekseevskoe,sub_area_Butyrskoe,sub_area_Mar'ina Roshha,0.0,0.0,0,1, 
timestamp_2012-02-18,,,,,,,,,,,,,sub_area_Severnoe Izmajlovo,sub_area_Hovrino,sub_area_Novogireevo,sub_area_Jasenevo,sub_area_Ramenki,0.0,0.0,0,1, 
timestamp_2012-02-20,,,,,,,,,,,,,sub_area_Severnoe Butovo,sub_area_Jakimanka,sub_area_Silino,sub_area_Prospekt Vernadskogo,sub_area_Levoberezhnoe,0.0,0.0,0,1, 
timestamp_2012-02-21,,,,,,,,,,,,,sub_area_Jasenevo,hospital_beds_raion,sub_area_Birjulevo Zapadnoe,sub_area_Troparevo-Nikulino,sub_area_Donskoe,0.0,0.0,0,1, 
timestamp_2012-02-22,,,,,,,,,,,,,sub_area_Begovoe,sub_area_Nizhegorodskoe,sub_area_Staroe Krjukovo,ecology_poor,sub_area_Sviblovo,0.0,0.0,0,1, 
timestamp_2012-02-24,,,,,,,,,,,,,sub_area_Kapotnja,sub_area_Kurkino,sub_area_Tekstil'shhiki,sub_area_Silino,sub_area_Butyrskoe,0.0,0.0,0,1, 
timestamp_2012-02-25,,,,,,,,,,,,,sub_area_Begovoe,sub_area_Rostokino,sub_area_Mar'ina Roshha,sub_area_Babushkinskoe,sub_area_Troparevo-Nikulino,0.0,0.0,0,1, 
timestamp_2012-02-27,,,,,,,,,,,,,sub_area_Bogorodskoe,sub_area_Koptevo,sub_area_Strogino,mosque_count_1500,ekder_male,0.0,0.0,0,1, 
timestamp_2012-02-28,,,,,,,,,,,,,sub_area_Begovoe,sub_area_Rostokino,sub_area_Altuf'evskoe,sub_area_Matushkino,sub_area_Donskoe,0.0,0.0,0,1, 
timestamp_2012-02-29,,,,,,,,,,,,,sub_area_Arbat,sub_area_Obruchevskoe,sub_area_Gagarinskoe,sub_area_Ostankinskoe,sub_area_Ljublino,0.0,0.0,0,1, 
timestamp_2012-03-01,,,,,,,,,,,,,sub_area_Zamoskvorech'e,sub_area_Vyhino-Zhulebino,sub_area_Nizhegorodskoe,16_29_male,male_f,0.0,0.0,0,1, 
timestamp_2012-03-02,,,,,,,,,,,,,sub_area_Novogireevo,leisure_count_500,sub_area_Severnoe Tushino,sub_area_Nizhegorodskoe,sub_area_Moskvorech'e-Saburovo,0.0,0.0,0,1, 
timestamp_2012-03-03,,,,,,,,,,,,,sub_area_Hamovniki,sub_area_Mar'ino,sub_area_Krjukovo,sub_area_Shhukino,preschool_education_centers_raion,0.0,0.0,0,1, 
timestamp_2012-03-05,,,,,,,,,,,,,sub_area_Savelovskoe,sub_area_Prospekt Vernadskogo,sub_area_Matushkino,sub_area_Troparevo-Nikulino,sub_area_Juzhnoportovoe,0.0,0.0,0,1, 
timestamp_2012-03-06,,,,,,,,,,,,,sub_area_Rostokino,sub_area_Severnoe Tushino,sub_area_Savelki,ekder_all,ekder_female,0.0,0.0,0,1, 
timestamp_2012-03-07,,,,,,,,,,,,,sub_area_Jakimanka,16_29_female,male_f,full_all,16_29_all,0.0,0.0,0,1, 
timestamp_2012-03-10,,,,,,,,,,,,,sub_area_Brateevo,sub_area_Mar'ina Roshha,sub_area_Fili Davydkovo,sub_area_Nagatino-Sadovniki,sub_area_Beskudnikovskoe,0.0,0.0,0,1, 
timestamp_2012-03-11,,,,,,,,,,,,,sub_area_Gagarinskoe,sub_area_Basmannoe,sub_area_Ajeroport,build_count_1921-1945,sub_area_Nagatino-Sadovniki,0.0,0.0,0,1, 
timestamp_2012-03-12,,,,,,,,,,,,,sub_area_Fili Davydkovo,school_education_centers_top_20_raion,sub_area_Troparevo-Nikulino,sub_area_Horoshevskoe,sub_area_Juzhnoe Medvedkovo,0.0,0.0,0,1, 
timestamp_2012-03-13,,,,,,,,,,,,,sub_area_Altuf'evskoe,sub_area_Gagarinskoe,ecology_poor,sub_area_Ajeroport,sub_area_Vojkovskoe,0.0,0.0,0,1, 
timestamp_2012-03-14,,,,,,,,,,,,,sub_area_Kuncevo,sub_area_Severnoe Tushino,sub_area_Jakimanka,sub_area_Savelovskoe,sport_count_2000,0.0,0.0,0,1, 
timestamp_2012-03-15,,,,,,,,,,,,,sub_area_Kurkino,sub_area_Strogino,sub_area_Jakimanka,sub_area_Savelovskoe,cafe_sum_1000_min_price_avg,0.0,0.0,0,1, 
timestamp_2012-03-16,,,,,,,,,,,,,sub_area_Sokol'niki,sub_area_Ramenki,ecology_satisfactory,sub_area_Vojkovskoe,sub_area_Fili Davydkovo,0.0,0.0,0,1, 
timestamp_2012-03-17,,,,,,,,,,,,,sub_area_Savelki,sub_area_Horoshevskoe,sub_area_Juzhnoe Medvedkovo,sub_area_Novogireevo,sub_area_Koptevo,0.0,0.0,0,1, 
timestamp_2012-03-19,,,,,,,,,,,,,sub_area_Zamoskvorech'e,leisure_count_500,sub_area_Basmannoe,sub_area_Fili Davydkovo,mosque_count_500,0.0,0.0,0,1, 
timestamp_2012-03-20,,,,,,,,,,,,,sub_area_Bogorodskoe,leisure_count_500,sub_area_Hamovniki,sub_area_Jaroslavskoe,sub_area_Lianozovo,0.0,0.0,0,1, 
timestamp_2012-03-21,,,,,,,,,,,,,sub_area_Preobrazhenskoe,sub_area_Dorogomilovo,product_type_Investment,sub_area_Hamovniki,sub_area_Meshhanskoe,0.0,0.0,0,1, 
timestamp_2012-03-22,,,,,,,,,,,,,sub_area_Nagatino-Sadovniki,sub_area_Veshnjaki,sub_area_Prospekt Vernadskogo,sub_area_Alekseevskoe,ekder_female,0.0,0.0,0,1, 
timestamp_2012-03-23,,,,,,,,,,,,,sub_area_Nagatinskij Zaton,sub_area_Silino,sub_area_Krylatskoe,sub_area_Lefortovo,sub_area_Troparevo-Nikulino,0.0,0.0,0,1, 
timestamp_2012-03-24,,,,,,,,,,,,,sub_area_Caricyno,sub_area_Metrogorodok,sub_area_Ajeroport,sub_area_Vojkovskoe,sub_area_Filevskij Park,0.0,0.0,0,1, 
timestamp_2012-03-26,,,,,,,,,,,,,sub_area_Begovoe,sub_area_Silino,sub_area_Butyrskoe,build_count_block,sub_area_Matushkino,0.0,0.0,0,1, 
timestamp_2012-03-27,,,,,,,,,,,,,sub_area_Sokol'niki,sub_area_Ostankinskoe,sub_area_Ajeroport,sub_area_Kotlovka,sub_area_Severnoe Medvedkovo,0.0,0.0,0,1, 
timestamp_2012-03-28,,,,,,,,,,,,,sub_area_Ajeroport,sub_area_Vojkovskoe,sub_area_Severnoe Butovo,sub_area_Sokolinaja Gora,sub_area_Ivanovskoe,0.0,0.0,0,1, 
timestamp_2012-03-29,,,,,,,,,,,,,sub_area_Marfino,sub_area_Basmannoe,sub_area_Butyrskoe,sub_area_Troparevo-Nikulino,sub_area_Fili Davydkovo,0.0,0.0,0,1, 
timestamp_2012-03-30,,,,,,,,,,,,,sub_area_Ivanovskoe,sub_area_Rostokino,sub_area_Severnoe Tushino,sub_area_Silino,sub_area_Vostochnoe Degunino,0.0,0.0,0,1, 
timestamp_2012-03-31,,,,,,,,,,,,,sub_area_Donskoe,sub_area_Pechatniki,sub_area_Mozhajskoe,sub_area_Veshnjaki,sub_area_Kosino-Uhtomskoe,0.0,0.0,0,1, 
timestamp_2012-04-02,,,,,,,,,,,,,sub_area_Savelki,sub_area_Levoberezhnoe,sub_area_Kotlovka,sub_area_Teplyj Stan,sub_area_Chertanovo Central'noe,0.0,0.0,0,1, 
